4_months	6_months	12_months	18_months	24_months
chr3.72309201.-	1	1	0	0	0
chr3.100105272.+	5	3	0	0	0
chr3.108089371.+	1	1	0	0	0
chr3.108242322.+	1	0	0	0	0
chr3.114942770.+	1	4	0	0	0
chr3.122565190.+	1	0	0	1	0
chr3.129627362.+	1	1	0	0	0
chr3.130850037.+	5	4	0	0	0
chr3.141411680.+	2	2	0	0	0
chr3.141486528.+	3	1	0	0	0
chr3.150547415.+	2	1	0	0	0
chr3.152192889.+	75	37	2	1	1
chr3.15799065.+	19	21	1	1	1
chr3.158357797.+	1	0	0	0	0
chr3.168048286.+	10	36	3	4	1
chr3.25667129.+	12	4	0	0	0
chr3.28171640.+	1	1	0	0	0
chr3.3191574.+	6	8	0	0	0
chr3.36908952.+	21	7	1	0	1
chr3.38150757.+	13	4	0	0	0
chr3.45552440.+	34	26	0	0	1
chr3.46695072.+	5	1	9	11	14
chr3.49239316.+	4	2	0	0	0
chr3.49345588.+	3	1	0	0	0
chr3.49417272.+	23	17	0	4	1
chr3.50622280.+	37	47	4	1	2
chr3.69084180.+	13	15	0	1	0
chr3.78559751.+	1	0	0	0	0
chr3.87823345.+	133	55	10	4	6
chr3.94462345.+	5	7	0	1	0
chr4.123421860.-	13	11	0	0	1
chr4.138023483.-	4	1	0	0	0
chr4.145880334.-	1	0	0	0	0
chr4.147706337.-	1	0	0	0	0
chr4.150865793.-	1	0	0	0	0
chr4.150997773.-	3	3	0	0	0
chr4.153441528.-	16	6	0	0	0
chr4.153664414.-	1	0	0	0	0
chr4.155675282.-	21	11	2	2	0
chr4.168319418.-	10	1	1	0	0
chr4.16894145.-	42	21	0	2	0
chr4.184684379.-	1	0	0	0	0
chr4.185178574.-	54	58	6	2	4
chr4.38663006.-	28	42	3	1	0
chr4.56821243.-	3	1	0	0	0
chr4.80073843.-	2	1	0	0	0
chr4.80185063.-	35	24	4	5	9
chr4.83387441.-	1	0	0	0	0
chr4.88845319.-	1	1	0	0	0
chr4.89889471.-	5	7	0	1	0
chr4.10690881.+	1	0	0	0	0
chr4.108450787.+	1	0	0	0	0
chr4.121265656.+	19	8	0	0	0
chr4.136112665.+	3	2	0	0	0
chr4.142644348.+	16	14	5	9	3
chr4.14992498.+	1	0	0	0	0
chr4.15761815.+	21	11	0	1	1
chr4.165326678.+	1	2	0	0	0
chr4.171032084.+	32	22	1	0	0
chr4.39030717.+	8	6	0	0	0
chr4.40198376.+	7	3	0	0	0
chr4.48202788.+	5	5	0	1	0
chr4.58867322.+	1	0	0	0	0
chr4.61987308.+	1	0	0	0	0
chr4.70842517.+	1	0	0	0	0
chr4.71006930.+	16	13	0	0	0
chr4.88377930.+	1	2	0	0	0
chr4.89493684.+	1	0	0	0	0
chr4.90148113.+	1	0	0	0	0
chr5.112341700.-	1	0	0	0	0
chr5.126777746.-	2	0	0	0	0
chr5.131263296.-	67	49	7	1	2
chr5.132047516.-	1	0	0	0	0
chr5.132468786.-	16	49	1	2	1
chr5.132495164.-	2	0	0	0	0
chr5.138081936.-	1	3	0	0	0
chr5.139389444.-	1	0	0	0	0
chr5.139393550.-	154	46	2	6	5
chr5.139662172.-	2	0	0	0	0
chr5.14155442.-	1	2	0	0	0
chr5.141849324.-	34	16	0	2	0
chr5.141969624.-	23	17	0	2	2
chr5.149345863.-	2	0	0	0	0
chr5.157110199.-	11	51	2	1	1
chr5.157177051.-	1	0	0	0	0
chr5.17682420.-	1	0	0	0	0
chr5.177507858.-	10	6	0	0	0
chr5.39076250.-	140	67	1	12	11
chr5.39176590.-	2	2	0	0	0
chr5.71034024.-	1	0	0	0	0
chr5.77232007.-	1	1	0	0	0
chr5.78485767.-	102	92	5	4	4
chr5.78485998.-	56	30	0	0	0
chr5.80256937.-	24	14	2	0	0
chr5.81421912.-	58	29	0	2	1
chr5.88733044.-	1	0	0	0	0
chr5.89212940.-	1	0	0	0	0
chr5.91378301.-	1	1	0	0	0
chr5.119340825.+	1	1	0	0	0
chr5.131357066.+	3	1	1	0	0
chr5.132468401.+	16	41	1	0	1
chr5.139387194.+	5	2	0	0	0
chr5.139706605.+	55	44	1	4	1
chr5.140846482.+	1	0	0	0	0
chr5.142133879.+	2	29	1	0	0
chr5.149952699.+	1	0	0	0	0
chr5.150081476.+	27	11	0	0	2
chr5.157263373.+	24	10	0	0	0
chr5.157858367.+	7	3	0	0	0
chr5.159459747.+	2	3	0	0	0
chr5.160798359.+	24	19	0	0	1
chr5.165670902.+	1	0	0	0	0
chr5.170298726.+	2	1	0	0	0
chr5.171601629.+	6	3	0	0	1
chr5.172108692.+	2	1	0	0	0
chr5.33713552.+	3	2	0	0	0
chr5.372901.+	7	1	0	0	0
chr5.40440921.+	3	15	0	0	1
chr5.42991597.+	7	21	0	0	0
chr5.56049785.+	11	6	0	0	0
chr5.62580070.+	57	79	4	3	1
chr5.66143742.+	1	0	0	0	0
chr5.67352205.+	3	1	0	0	0
chr5.69150385.+	1	0	0	0	0
chr5.78548572.+	3	1	0	0	0
chr5.82734784.+	1	0	0	0	0
chr5.90021890.+	1	0	0	0	0
chr5.96807626.+	1	0	0	0	0
chr6_GL000256v2_alt.4011508.-	1	1	0	0	0
chr6.11393495.-	29	12	5	4	6
chr6.116454138.-	43	27	1	1	0
chr6.116478546.-	2	0	0	0	0
chr6.142379113.-	17	12	1	0	1
chr6.144350130.-	1	0	0	0	0
chr6.147195632.-	25	9	0	0	0
chr6.149688493.-	1	0	0	0	0
chr6.15300550.-	95	93	5	6	1
chr6.156232796.-	4	5	0	0	0
chr6.166311948.-	1	0	0	0	0
chr6.168023451.-	1	0	0	0	0
chr6.17910035.-	12	59	2	3	0
chr6.23716724.-	1	0	0	0	0
chr6.37431445.-	4	3	0	0	0
chr6.41656367.-	13	87	1	3	1
chr6.56715158.-	44	103	0	9	10
chr6.57184434.-	1	0	0	0	0
chr6.106327032.+	38	24	0	0	0
chr6.106518542.+	2	3	0	0	0
chr6.111795466.+	6	1	1	0	0
chr6.119049233.+	2	0	0	0	0
chr6.12944506.+	9	1	0	0	0
chr6.131606232.+	1	0	0	0	0
chr6.135185795.+	1	2	0	0	0
chr6.135280212.+	1	1	0	0	0
chr6.136563492.+	2	3	0	0	0
chr6.138196968.+	1	0	0	0	0
chr6.146829130.+	23	16	1	1	0
chr6.156151179.+	1	1	0	0	0
chr6.158647144.+	28	24	1	1	2
chr6.158686435.+	53	26	0	1	2
chr6.22063426.+	9	9	0	0	0
chr6.23173077.+	1	0	0	0	0
chr6.25052517.+	10	3	0	0	0
chr6.25404955.+	1	0	1	0	0
chr6.26185631.+	2	1	0	0	0
chr6.2764047.+	1	0	0	0	0
chr6.34820186.+	67	24	1	2	1
chr6.41071600.+	3	1	0	0	0
chr6.44219326.+	1	0	0	0	0
chr6.46654694.+	5	0	0	0	0
chr6.90285069.+	1	2	0	0	0
chr6.95198951.+	1	1	0	0	0
chr7_KI270803v1_alt.367859.-	18	9	2	0	1
chr7.101740380.-	17	6	2	1	0
chr7.101754934.-	3	1	0	0	0
chr7.106658976.-	7	3	0	0	1
chr7.112941505.-	1	0	0	0	0
chr7.115412094.-	11	2	0	0	0
chr7.128532733.-	19	38	1	2	0
chr7.135574899.-	5	3	0	0	0
chr7.142384263.-	5	1	0	0	0
chr7.151539379.-	2	0	0	0	0
chr7.15224097.-	1	0	0	0	0
chr7.23346099.-	3	10	0	0	0
chr7.37351923.-	4	4	0	0	0
chr7.38350849.-	10	2	0	0	1
chr7.44978448.-	6	5	0	0	0
chr7.5457425.-	71	31	1	2	0
chr7.5458335.-	16	4	0	0	1
chr7.68214488.-	1	0	0	0	0
chr7.72080778.-	13	20	2	1	0
chr7.73527949.-	19	1	1	0	0
chr7.74270542.-	7	5	0	0	0
chr7.77194106.-	15	8	1	1	1
chr7.81887728.-	3	0	0	0	0
chr7.925721.-	1	1	0	0	0
chr7.94233537.-	5	5	0	0	1
chr7.99104119.-	1	0	0	0	0
chr7.10268895.+	64	28	1	1	1
chr7.116098146.+	1	1	0	0	0
chr7.130442015.+	11	4	0	1	0
chr7.131553666.+	10	9	1	0	1
chr7.134955336.+	1	0	0	0	0
chr7.142457105.+	1	5	0	0	0
chr7.1507711.+	4	0	0	0	0
chr7.154949577.+	1	0	0	0	0
chr7.155932390.+	2	1	0	0	0
chr7.157301298.+	12	3	0	0	0
chr7.1889338.+	1	0	0	0	0
chr7.26554343.+	4	1	0	0	0
chr7.37405884.+	1	2	0	0	0
chr7.38361544.+	1	0	0	0	0
chr7.48390519.+	1	7	0	0	0
chr7.5080315.+	1	0	0	0	0
chr7.5432276.+	1	0	0	0	0
chr7.5456993.+	12	6	0	0	0
chr7.5532534.+	2	0	0	0	0
chr7.6739497.+	1	1	0	0	0
chr7.72079334.+	2	0	0	0	0
chr7.74173439.+	3	1	0	0	0
chr7.80138319.+	202	128	12	7	5
chr7.80925482.+	2	2	0	1	0
chr7.88472253.+	1	0	0	0	0
chr7.92719904.+	2	0	0	0	0
chr7.94161588.+	5	5	0	1	0
chr8.101574026.-	6	4	3	0	0
chr8.107301535.-	2	0	0	0	0
chr8.107303603.-	1	1	0	0	0
chr8.107460861.-	5	8	0	0	0
chr8.107494374.-	18	54	0	1	2
chr8.109540953.-	23	10	0	0	1
chr8.11892269.-	1	0	0	0	0
chr8.123549601.-	1	1	0	0	0
chr8.133053852.-	2	57	2	5	3
chr8.143189886.-	2	22	4	1	1
chr8.14756368.-	1	0	0	0	0
chr8.19208763.-	30	13	0	1	1
chr8.27364342.-	19	20	1	1	1
chr8.28372233.-	1	0	0	0	0
chr8.30092892.-	10	3	0	0	0
chr8.59337888.-	63	29	2	0	0
chr8.65923938.-	2	1	0	0	0
chr8.74058757.-	1	0	0	0	0
chr8.78420620.-	1	0	0	0	0
chr8.80121769.-	1	1	0	0	0
chr8.83139367.-	1	1	0	0	0
chr8.96990395.-	28	22	0	1	0
chr8.99619314.-	3	2	0	0	0
chr8.120288998.+	4	1	0	1	0
chr8.120430144.+	1	0	0	0	0
chr8.142042698.+	1	2	0	0	0
chr8.143454556.+	1	0	0	0	0
chr8.16610863.+	22	12	1	0	1
chr8.17922418.+	3	0	0	0	0
chr8.22473931.+	1	0	0	0	0
chr8.22540249.+	71	25	3	0	0
chr8.35250602.+	2	0	0	0	0
chr8.42542058.+	6	10	0	0	1
chr8.49253018.+	55	24	0	5	1
chr8.58658556.+	14	4	0	0	0
chr8.58882816.+	3	43	4	2	2
chr8.6816807.+	2	2	0	0	0
chr8.69572922.+	1	0	0	0	0
chr8.70404379.+	6	0	0	0	0
chr9.104748767.-	10	3	0	0	0
chr9.109150351.-	1	0	0	0	0
chr9.113350785.-	1	3	0	0	0
chr9.120994353.-	1	0	0	0	0
chr9.123036241.-	7	2	1	0	0
chr9.124660134.-	1	1	0	0	0
chr9.125647250.-	8	2	0	0	0
chr9.128078369.-	7	4	0	1	0
chr9.128683987.-	1	0	0	0	1
chr9.128688682.-	12	2	0	0	0
chr9.129460879.-	2	1	0	0	0
chr9.130046230.-	48	27	0	3	1
chr9.131080472.-	1	0	0	0	0
chr9.136618664.-	7	1	0	0	0
chr9.136647669.-	14	44	1	5	0
chr9.136647706.-	2	1	0	0	0
chr9.20385841.-	2	0	0	0	0
chr9.36484915.-	1	0	0	0	0
chr9.37848856.-	1	0	0	0	0
chr9.40095580.-	1	0	0	0	0
chr9.68887194.-	17	17	0	0	0
chr9.76166585.-	14	5	0	1	0
chr9.7800293.-	1	2	0	0	0
chr9.83758632.-	1	0	0	0	0
chr9.94898072.-	1	0	0	0	0
chr9.9902064.-	13	1	0	0	0
chr9.99031802.-	15	13	1	1	0
chr9.105862114.+	3	7	0	0	0
chr9.114615836.+	6	5	1	0	0
chr9.123956520.+	1	1	0	0	0
chr9.124922110.+	50	68	2	6	4
chr9.124922433.+	2	6	0	0	0
chr9.124969961.+	23	6	0	0	0
chr9.126533542.+	6	4	0	0	0
chr9.128899812.+	38	13	1	0	0
chr9.129862825.+	1	1	0	0	0
chr9.129864411.+	10	4	0	0	0
chr9.15296114.+	1	1	0	0	0
chr9.3171841.+	30	23	0	0	2
chr9.3175161.+	2	0	0	0	1
chr9.33044702.+	48	25	0	0	0
chr9.3507783.+	51	99	5	5	5
chr9.35932658.+	1	1	0	0	0
chr9.5844069.+	29	31	3	0	0
chr9.5846498.+	38	16	0	1	0
chr9.71898142.+	1	1	0	0	0
chr9.74343522.+	1	0	0	0	0
chr9.76652350.+	1	0	0	0	0
chr9.76656488.+	46	26	2	0	1
chr9.77979182.+	6	5	0	0	0
chr9.89999824.+	1	0	0	0	0
chr9.91714057.+	38	27	4	3	1
chr9.92294118.+	1	0	0	0	0
chr9.93065634.+	5	4	0	0	0
chr9.9846306.+	1	0	0	0	0
chrX.109706403.-	9	11	0	1	0
chrX.12801686.-	1	0	0	0	0
chrX.129774075.-	4	1	0	1	0
chrX.130172969.-	27	52	1	3	2
chrX.13081882.-	40	13	3	0	5
chrX.136495901.-	18	5	0	0	1
chrX.136772877.-	8	5	0	1	0
chrX.154098234.-	10	49	7	3	1
chrX.154377931.-	2	2	0	0	0
chrX.15978031.-	13	3	1	0	0
chrX.18831261.-	1	0	0	0	0
chrX.19743860.-	2	0	0	0	0
chrX.24693426.-	1	0	0	0	0
chrX.39908785.-	2	0	0	1	0
chrX.44652312.-	1	0	0	0	0
chrX.47561297.-	29	30	0	1	3
chrX.105871480.+	1	0	0	0	0
chrX.121671433.+	1	0	0	0	0
chrX.124378731.+	8	12	0	0	0
chrX.124383173.+	58	88	2	2	1
chrX.12958472.+	7	2	0	0	0
chrX.13240120.+	14	8	0	2	0
chrX.13417074.+	1	0	0	0	0
chrX.136744367.+	11	5	0	0	0
chrX.140951953.+	1	0	0	0	0
chrX.153974614.+	63	25	3	1	0
chrX.44542701.+	21	10	1	0	0
chrX.79096944.+	50	11	0	1	0
chrX.79154261.+	9	4	0	0	0
chrX.82758278.+	170	85	2	17	10
chrY.17484006.+	1	0	0	0	0
chr1.108610817.-	0	1	0	0	0
chr1.108644389.-	0	6	0	0	0
chr1.112394008.-	0	1	0	0	0
chr1.120122516.-	0	1	0	0	0
chr1.145284732.-	0	1	0	0	0
chr1.147047110.-	0	1	0	0	0
chr1.151285551.-	0	1	0	0	0
chr1.155307953.-	0	75	46	46	20
chr1.186839380.-	0	6	0	0	0
chr1.198668727.-	0	1	0	0	0
chr1.203470976.-	0	1	0	0	0
chr1.203673497.-	0	1	0	0	0
chr1.206012780.-	0	3	2	1	2
chr1.209455697.-	0	1	0	0	0
chr1.230270111.-	0	18	2	1	0
chr1.231973204.-	0	1	0	0	0
chr1.23635684.-	0	2	1	0	1
chr1.248858642.-	0	1	0	0	0
chr1.32556340.-	0	1	0	0	0
chr1.41772440.-	0	2	1	0	0
chr1.42528048.-	0	1	0	0	0
chr1.42673878.-	0	3	0	1	1
chr1.45838282.-	0	1	0	0	0
chr1.61639891.-	0	1	0	0	0
chr1.9645415.-	0	11	0	1	1
chr1.149177611.+	0	1	0	0	0
chr1.153967051.+	0	1	0	0	0
chr1.155129043.+	0	11	0	1	0
chr1.155593183.+	0	1	0	0	0
chr1.156258196.+	0	2	0	2	0
chr1.15974728.+	0	1	0	0	0
chr1.17519670.+	0	1	0	0	0
chr1.180887032.+	0	1	0	0	0
chr1.19200470.+	0	1	0	0	0
chr1.204495423.+	0	1	1	1	1
chr1.211258181.+	0	9	0	0	1
chr1.212469551.+	0	1	0	0	0
chr1.220346429.+	0	1	0	0	0
chr1.223272107.+	0	1	0	0	0
chr1.236286518.+	0	1	0	0	0
chr1.24376236.+	0	1	0	0	0
chr1.246781721.+	0	1	0	0	0
chr1.24692137.+	0	1	0	0	0
chr1.26542818.+	0	2	0	2	0
chr1.26695052.+	0	6	4	4	0
chr1.31957460.+	0	1	11	22	17
chr1.33281886.+	0	14	1	1	0
chr1.37471876.+	0	1	0	0	0
chr1.41738840.+	0	1	0	0	0
chr1.45523296.+	0	1	0	0	0
chr1.46367909.+	0	1	0	0	0
chr1.54734250.+	0	1	0	0	0
chr1.6132986.+	0	1	0	0	0
chr1.84692627.+	0	16	0	3	0
chr1.89196917.+	0	1	12	19	12
chr1.92461470.+	0	14	1	2	3
chr10.104001900.-	0	1	0	0	0
chr10.114824499.-	0	29	5	3	0
chr10.125912773.-	0	1	0	0	0
chr10.12727949.-	0	1	0	0	0
chr10.127718502.-	0	1	0	0	0
chr10.14892914.-	0	1	0	0	0
chr10.29260647.-	0	1	0	0	0
chr10.32347366.-	0	2	0	0	0
chr10.32447076.-	0	1	0	0	0
chr10.48468574.-	0	96	38	30	20
chr10.75610834.-	0	2	0	0	0
chr10.87300.-	0	1	0	0	0
chr10.88120731.-	0	12	0	0	0
chr10.110097909.+	0	1	0	0	0
chr10.112415353.+	0	1	0	0	0
chr10.119135260.+	0	1	0	0	0
chr10.124773458.+	0	1	0	0	0
chr10.131898175.+	0	1	0	0	0
chr10.17428172.+	0	2	3	0	0
chr10.19638580.+	0	1	0	0	0
chr10.25062097.+	0	1	0	0	0
chr10.30484418.+	0	1	0	0	0
chr10.3465479.+	0	1	0	0	0
chr10.36758418.+	0	1	0	0	0
chr10.71048313.+	0	1	0	0	0
chr11.118438213.-	0	7	1	0	0
chr11.12224215.-	0	1	0	1	3
chr11.129951910.-	0	1	0	2	1
chr11.17899744.-	0	1	0	0	0
chr11.36361850.-	0	9	1	4	4
chr11.47060422.-	0	2	0	0	0
chr11.5689542.-	0	1	0	0	0
chr11.57518392.-	0	1	0	0	0
chr11.59488840.-	0	1	0	0	0
chr11.73255916.-	0	1	0	0	0
chr11.73324015.-	0	1	0	0	0
chr11.75340404.-	0	5	2	0	0
chr11.75509815.-	0	1	0	0	0
chr11.126217540.+	0	1	0	0	0
chr11.130243301.+	0	1	0	0	0
chr11.18587583.+	0	12	0	0	2
chr11.60241158.+	0	1	0	0	0
chr11.66942928.+	0	1	0	0	0
chr11.68328319.+	0	1	0	6	2
chr11.72628484.+	0	1	0	0	0
chr11.76952892.+	0	1	0	0	0
chr11.96215991.+	0	1	0	0	0
chr12.108666951.-	0	17	0	0	3
chr12.110861669.-	0	2	0	0	0
chr12.116636252.-	0	5	0	0	0
chr12.11892131.-	0	2	0	0	0
chr12.120437702.-	0	2	0	0	0
chr12.127576902.-	0	1	0	0	0
chr12.16346732.-	0	1	0	0	0
chr12.18209270.-	0	1	0	0	0
chr12.25351719.-	0	1	0	0	0
chr12.27897789.-	0	1	0	0	0
chr12.38871842.-	0	2	0	0	0
chr12.48148799.-	0	1	0	0	0
chr12.57896923.-	0	5	0	0	0
chr12.62264316.-	0	1	0	0	0
chr12.68649915.-	0	1	0	0	0
chr12.71685501.-	0	1	0	0	0
chr12.93784214.-	0	1	0	0	0
chr12.96209111.-	0	1	0	0	0
chr12.9732181.-	0	30	5	8	2
chr12.116538647.+	0	4	0	0	0
chr12.118314782.+	0	4	0	1	0
chr12.14962802.+	0	9	0	0	1
chr12.24975141.+	0	1	0	0	0
chr12.27102195.+	0	1	0	0	0
chr12.45215968.+	0	2	0	0	0
chr12.65279601.+	0	1	0	0	0
chr12.6812591.+	0	1	0	0	0
chr12.88434726.+	0	9	0	1	0
chr12.94123673.+	0	1	0	0	0
chr12.94985870.+	0	1	0	0	0
chr13.103162970.-	0	1	0	0	0
chr13.19884486.-	0	1	0	0	0
chr13.28119838.-	0	1	0	0	0
chr13.40734689.-	0	1	0	0	0
chr13.48571999.-	0	1	0	0	0
chr13.49620365.-	0	4	1	0	0
chr13.71613646.-	0	1	0	0	0
chr13.77767155.-	0	1	0	0	0
chr13.84299807.-	0	1	0	0	0
chr13.21476619.+	0	1	0	0	0
chr13.48186273.+	0	1	0	0	0
chr13.67764650.+	0	2	0	1	1
chr13.95172859.+	0	1	0	0	0
chr13.98641507.+	0	1	0	0	0
chr13.99500657.+	0	53	0	2	0
chr14.102312600.-	0	1	0	0	0
chr14.22543788.-	0	1	0	0	0
chr14.22990652.-	0	1	0	0	0
chr14.34045195.-	0	1	0	0	0
chr14.47220216.-	0	1	0	0	0
chr14.68797209.-	0	1	2	5	7
chr14.97932582.-	0	1	0	0	0
chr14.35368272.+	0	22	1	4	2
chr14.59563960.+	0	1	0	0	0
chr14.83727021.+	0	1	0	0	0
chr14.97015845.+	0	1	0	0	0
chr15.49293929.-	0	1	0	0	0
chr15.73983293.-	0	1	0	0	0
chr15.74844994.-	0	1	0	0	0
chr15.75891579.-	0	2	0	0	0
chr15.100303794.+	0	1	0	0	0
chr15.24937075.+	0	1	0	0	0
chr15.40100189.+	0	7	0	1	0
chr15.44416528.+	0	1	0	0	0
chr15.50606725.+	0	1	0	0	0
chr15.52419286.+	0	3	0	0	0
chr15.68818023.+	0	22	0	3	2
chr15.88711135.+	0	1	0	0	0
chr15.89164725.+	0	1	0	0	0
chr15.93354774.+	0	1	0	0	0
chr16_KI270853v1_alt.1966091.-	0	1	0	0	0
chr16_KI270853v1_alt.1328960.+	0	1	0	0	0
chr16_KI270853v1_alt.1733427.+	0	1	0	0	0
chr16.27403488.-	0	25	2	1	0
chr16.28187705.-	0	1	0	0	0
chr16.31550013.-	0	1	0	0	0
chr16.35395644.-	0	1	0	0	0
chr16.53097671.-	0	1	0	0	0
chr16.53108677.-	0	1	0	0	0
chr16.54051867.-	0	1	0	0	0
chr16.54868755.-	0	1	0	0	0
chr16.56296053.-	0	1	0	0	0
chr16.58648113.-	0	1	0	0	0
chr16.70310793.-	0	1	0	0	0
chr16.74798909.-	0	1	0	0	0
chr16.81791991.-	0	1	0	0	0
chr16.85483907.-	0	2	0	1	0
chr16.87341458.-	0	1	0	0	0
chr16.15670949.+	0	1	0	0	0
chr16.18404046.+	0	1	0	0	0
chr16.19702877.+	0	1	0	0	0
chr16.2009126.+	0	35	15	22	22
chr16.20909356.+	0	2	0	0	0
chr16.209236.+	0	1	0	0	0
chr16.23863120.+	0	1	0	0	0
chr16.24708394.+	0	1	0	0	0
chr16.29154010.+	0	1	0	1	0
chr16.401203.+	0	2	0	0	0
chr16.57533520.+	0	13	6	9	6
chr16.68131466.+	0	1	0	0	0
chr16.71811172.+	0	11	0	1	0
chr16.81573289.+	0	1	0	0	0
chr16.81763889.+	0	1	0	0	0
chr16.86113861.+	0	1	0	0	0
chr17.10021297.-	0	1	0	0	0
chr17.17759773.-	0	1	0	0	0
chr17.2076438.-	0	3	4	0	0
chr17.47659954.-	0	1	0	0	0
chr17.47822606.-	0	1	0	0	0
chr17.49159524.-	0	1	0	0	0
chr17.57514209.-	0	4	0	1	0
chr17.64985845.-	0	8	0	0	0
chr17.67841273.-	0	1	0	0	0
chr17.68509985.-	0	1	36	39	23
chr17.75993860.-	0	1	0	0	0
chr17.78260022.-	0	1	0	0	0
chr17.80856361.-	0	60	0	3	0
chr17.11376413.+	0	1	0	0	0
chr17.17759770.+	0	133	4	6	2
chr17.28793880.+	0	1	0	0	0
chr17.34981600.+	0	38	2	3	1
chr17.4378068.+	0	1	0	0	0
chr17.59831095.+	0	26	14	35	31
chr17.77345233.+	0	1	0	0	0
chr17.78716254.+	0	1	0	0	0
chr17.81455683.+	0	2	0	0	0
chr17.82457797.+	0	17	5	1	1
chr18.1768680.-	0	2	0	0	0
chr18.23867327.-	0	4	0	1	1
chr18.3622874.-	0	1	0	0	0
chr18.49054372.-	0	1	0	0	0
chr18.58686162.-	0	1	0	0	0
chr18.70903997.+	0	1	0	0	0
chr18.79462439.+	0	1	0	0	0
chr19.12883069.-	0	1	0	0	0
chr19.14248424.-	0	4	0	0	0
chr19.18020146.-	0	31	0	3	2
chr19.18024378.-	0	1	0	0	0
chr19.18291006.-	0	7	0	0	1
chr19.18401079.-	0	1	4	11	3
chr19.2695047.-	0	1	0	0	0
chr19.30706351.-	0	1	0	0	0
chr19.3267128.-	0	1	0	0	0
chr19.4090243.-	0	1	0	0	0
chr19.41368159.-	0	1	0	0	0
chr19.47255303.-	0	1	0	1	0
chr19.12791322.+	0	3	0	0	0
chr19.12937190.+	0	1	4	3	7
chr19.18024375.+	0	100	6	8	6
chr19.18025497.+	0	1	0	0	0
chr19.18291003.+	0	1	0	0	0
chr19.2903365.+	0	1	0	0	0
chr19.29261990.+	0	1	0	0	0
chr19.31808179.+	0	1	0	0	0
chr19.41878279.+	0	1	0	0	0
chr19.47147679.+	0	1	0	0	0
chr19.47253056.+	0	1	0	0	0
chr19.47472189.+	0	1	0	0	0
chr19.5829524.+	0	1	0	0	0
chr19.703281.+	0	1	1	1	0
chr19.7300857.+	0	1	0	0	0
chr19.8501283.+	0	3	0	0	0
chr2.100531280.-	0	1	0	0	0
chr2.107808555.-	0	1	0	0	0
chr2.112714735.-	0	1	0	0	0
chr2.127154566.-	0	1	0	0	0
chr2.143271578.-	0	1	0	0	0
chr2.144297650.-	0	1	0	0	0
chr2.147829839.-	0	1	0	0	0
chr2.164959694.-	0	1	0	0	0
chr2.177153012.-	0	1	0	0	0
chr2.24973102.-	0	3	29	45	37
chr2.27468732.-	0	1	0	0	0
chr2.29529936.-	0	3	2	0	0
chr2.32301841.-	0	1	0	0	0
chr2.34739542.-	0	1	0	0	0
chr2.37851664.-	0	3	1	1	1
chr2.39124974.-	0	11	1	0	0
chr2.43212940.-	0	22	5	0	0
chr2.61176544.-	0	1	57	52	55
chr2.68735196.-	0	7	2	3	0
chr2.68775771.-	0	1	0	0	0
chr2.79102357.-	0	3	0	0	0
chr2.100743531.+	0	1	0	0	0
chr2.101482122.+	0	1	0	0	0
chr2.105791321.+	0	1	0	0	0
chr2.122359888.+	0	1	0	0	0
chr2.126975125.+	0	22	14	41	37
chr2.128472107.+	0	1	0	1	0
chr2.144703793.+	0	1	0	0	0
chr2.191541754.+	0	1	0	0	0
chr2.201212945.+	0	2	0	0	0
chr2.219314780.+	0	1	0	0	0
chr2.229823558.+	0	1	0	0	0
chr2.229919836.+	0	1	0	0	0
chr2.239266598.+	0	13	1	1	1
chr2.25274812.+	0	1	35	39	21
chr2.42926032.+	0	1	0	0	0
chr2.53816422.+	0	1	0	0	0
chr2.64905481.+	0	11	0	0	0
chr2.68762394.+	0	18	34	42	73
chr2.75632339.+	0	1	0	0	0
chr20.10454042.-	0	72	17	40	18
chr20.10512356.-	0	1	0	1	0
chr20.14908433.-	0	1	0	0	0
chr20.3094756.-	0	7	1	1	4
chr20.3849364.-	0	1	0	0	0
chr20.4154258.-	0	3	0	0	0
chr20.49185977.-	0	1	0	0	0
chr20.55534348.-	0	1	0	0	0
chr20.9164791.-	0	4	0	1	0
chr20.1035054.+	0	4	1	2	1
chr20.10435759.+	0	86	31	39	25
chr20.36574520.+	0	9	1	5	1
chr20.3712703.+	0	1	0	0	0
chr20.37311622.+	0	1	0	0	0
chr21_GL383578v2_alt.42913.+	0	3	0	0	0
chr21.14545760.-	0	10	1	0	0
chr21.38987535.-	0	2	1	0	1
chr21.39424424.-	0	1	0	0	0
chr21.40296634.-	0	1	0	0	0
chr21.44158255.-	0	5	1	0	0
chr21.14975996.+	0	1	0	0	0
chr21.15278505.+	0	4	0	0	1
chr21.36354458.+	0	1	0	0	0
chr22.18999689.-	0	1	0	0	0
chr22.28234508.-	0	1	0	0	0
chr22.31229200.-	0	15	1	1	0
chr22.31290031.-	0	10	0	0	0
chr22.36553877.-	0	1	0	0	0
chr22.36890769.-	0	1	0	0	0
chr22.40952046.-	0	13	6	2	1
chr22.45511232.-	0	1	0	0	0
chr22.46612647.-	0	11	0	0	1
chr22.37314096.+	0	1	0	0	0
chr22.39040166.+	0	2	1	3	0
chr22.40952043.+	0	1	0	0	0
chr22.44059231.+	0	1	3	7	2
chr22.46248964.+	0	1	0	0	0
chr3.152192892.-	0	1	0	0	0
chr3.161767388.-	0	1	0	0	0
chr3.183481094.-	0	1	0	0	0
chr3.23873619.-	0	1	0	0	0
