"chromosome","position","strand","cellType","patient","reads","sampleReplicate","timePoint","timePointMonths","inferredCells","relativeAbundance","nearestGene","source","sample"
"chr20",53679437,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"LOC105372672","454","GTSP0127"
"chr20",53706507,"+","Tcells","p00001",7,"GTSP0127-2","m24",24,2,0.192864030858245,"LOC105372672","454","GTSP0127"
"chr20",53933585,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"BCAS1","454","GTSP0127"
"chr20",53934537,"+","Tcells","p00001",4,"GTSP0127-2","m24",24,2,0.192864030858245,"BCAS1","454","GTSP0127"
"chr20",9126394,"+","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"PLCB4","454","GTSP0127"
"chr21",15440394,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"USP25","454","GTSP0127"
"chr21",15605760,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"USP25","454","GTSP0127"
"chr21",27037315,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"ADAMTS5","454","GTSP0127"
"chr21",35009562,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"RUNX1","454","GTSP0127"
"chr21",35507041,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"LOC100506403","454","GTSP0127"
"chr21",37226504,"-","Tcells","p00001",16,"GTSP0127-1","m24",24,4,0.38572806171649,"DSCR3","454","GTSP0127"
"chr21",37357142,"-","Tcells","p00001",18,"GTSP0127-1","m24",24,4,0.38572806171649,"DYRK1A","454","GTSP0127"
"chr21",38988086,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"LINC01700","454","GTSP0127"
"chr21",41928170,"-","Tcells","p00001",2,"GTSP0127-4","m24",24,1,0.0964320154291225,"C2CD2","454","GTSP0127"
"chr21",42101516,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"UMODL1","454","GTSP0127"
"chr21",43108070,"-","Tcells","p00001",6,"GTSP0127-2","m24",24,3,0.289296046287367,"U2AF1L5","454","GTSP0127"
"chr21",14550068,"+","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"SAMSN1","454","GTSP0127"
"chr21",15137007,"+","Tcells","p00001",9,"GTSP0127-4","m24",24,1,0.0964320154291225,"NRIP1","454","GTSP0127"
"chr21",30910344,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"KRTAP11-1","454","GTSP0127"
"chr21",34909474,"+","Tcells","p00001",3,"GTSP0127-2","m24",24,2,0.192864030858245,"RUNX1","454","GTSP0127"
"chr21",42063152,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,2,0.192864030858245,"UMODL1","454","GTSP0127"
"chr21",44438329,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"TRPM2","454","GTSP0127"
"chr21",44880200,"+","Tcells","p00001",2,"GTSP0127-4","m24",24,1,0.0964320154291225,"ITGB2","454","GTSP0127"
"chr22",17412003,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"CECR2","454","GTSP0127"
"chr22",30286217,"-","Tcells","p00001",13,"GTSP0127-1","m24",24,3,0.289296046287367,"CASTOR1","454","GTSP0127"
"chr22",33925922,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"LARGE1","454","GTSP0127"
"chr22",37308759,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"CYTH4","454","GTSP0127"
"chr22",39013764,"-","Tcells","p00001",85,"GTSP0127-1","m24",24,4,0.38572806171649,"APOBEC3C","454","GTSP0127"
"chr22",46603919,"-","Tcells","p00001",42,"GTSP0127-1","m24",24,4,0.38572806171649,"GRAMD4","454","GTSP0127"
"chr22",48913660,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"LINC01310","454","GTSP0127"
"chr22",23579925,"+","Tcells","p00001",5,"GTSP0127-2","m24",24,1,0.0964320154291225,"IGLL1","454","GTSP0127"
"chr22",25163382,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"KIAA1671","454","GTSP0127"
"chr22",26673531,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"MIAT,MIATNB","454","GTSP0127"
"chr22",37269178,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"CYTH4","454","GTSP0127"
"chr22",37676191,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,2,0.192864030858245,"MIR5096,LGALS1","454","GTSP0127"
"chr3",108055516,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"CD47","454","GTSP0127"
"chr3",108126601,"-","Tcells","p00001",3,"GTSP0127-4","m24",24,1,0.0964320154291225,"LINC01215","454","GTSP0127"
"chr3",112334386,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"CD200","454","GTSP0127"
"chr3",13016826,"-","Tcells","p00001",6,"GTSP0127-1","m24",24,2,0.192864030858245,"IQSEC1","454","GTSP0127"
"chr3",136851856,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"SLC35G2,NCK1-AS1","454","GTSP0127"
"chr3",14178167,"-","Tcells","p00001",3,"GTSP0127-2","m24",24,2,0.192864030858245,"XPC","454","GTSP0127"
"chr3",152185559,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"LOC101928166","454","GTSP0127"
"chr3",16481726,"-","Tcells","p00001",8,"GTSP0127-1","m24",24,4,0.38572806171649,"RFTN1","454","GTSP0127"
"chr3",177695812,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,2,0.192864030858245,"LINC00578","454","GTSP0127"
"chr3",177980874,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"LINC02015","454","GTSP0127"
"chr3",196612734,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"LINC01063","454","GTSP0127"
"chr3",196633563,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"LINC01063","454","GTSP0127"
"chr3",36900815,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"TRANK1","454","GTSP0127"
"chr3",36908299,"-","Tcells","p00001",10,"GTSP0127-1","m24",24,3,0.289296046287367,"TRANK1","454","GTSP0127"
"chr3",49814137,"-","Tcells","p00001",5,"GTSP0127-2","m24",24,1,0.0964320154291225,"UBA7","454","GTSP0127"
"chr3",52310286,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"DNAH1","454","GTSP0127"
"chr3",56759840,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"ARHGEF3","454","GTSP0127"
"chr3",89051921,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"EPHA3","454","GTSP0127"
"chr3",96795156,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"EPHA6","454","GTSP0127"
"chr3",108224827,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"IFT57","454","GTSP0127"
"chr3",111548731,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"CD96","454","GTSP0127"
"chr3",11289387,"+","Tcells","p00001",5,"GTSP0127-2","m24",24,2,0.192864030858245,"ATG7","454","GTSP0127"
"chr3",134485520,"+","Tcells","p00001",4,"GTSP0127-2","m24",24,2,0.192864030858245,"ANAPC13","454","GTSP0127"
"chr3",145680562,"+","Tcells","p00001",3,"GTSP0127-2","m24",24,3,0.289296046287367,"PLOD2","454","GTSP0127"
"chr3",148722568,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"AGTR1","454","GTSP0127"
"chr3",152241816,"+","Tcells","p00001",26,"GTSP0127-1","m24",24,4,0.38572806171649,"MBNL1-AS1","454","GTSP0127"
"chr3",160183529,"+","Tcells","p00001",5,"GTSP0127-3","m24",24,2,0.192864030858245,"IL12A-AS1","454","GTSP0127"
"chr3",168591829,"+","Tcells","p00001",11,"GTSP0127-2","m24",24,3,0.289296046287367,"EGFEM1P","454","GTSP0127"
"chr3",169345132,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"MECOM","454","GTSP0127"
"chr3",172319532,"+","Tcells","p00001",4,"GTSP0127-4","m24",24,1,0.0964320154291225,"FNDC3B","454","GTSP0127"
"chr3",179415794,"+","Tcells","p00001",14,"GTSP0127-1","m24",24,4,0.38572806171649,"GNB4","454","GTSP0127"
"chr3",19233271,"+","Tcells","p00001",5,"GTSP0127-2","m24",24,3,0.289296046287367,"KCNH8","454","GTSP0127"
"chr3",39147552,"+","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"CSRNP1","454","GTSP0127"
"chr3",51623500,"+","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"RAD54L2","454","GTSP0127"
"chr3",52317481,"+","Tcells","p00001",2,"GTSP0127-2","m24",24,1,0.0964320154291225,"DNAH1","454","GTSP0127"
"chr3",71449892,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"FOXP1","454","GTSP0127"
"chr4",140049992,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"MAML3","454","GTSP0127"
"chr4",155616564,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"GUCY1A3","454","GTSP0127"
"chr4",17613975,"-","Tcells","p00001",14,"GTSP0127-1","m24",24,3,0.289296046287367,"MED28","454","GTSP0127"
"chr4",38665261,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"KLF3","454","GTSP0127"
"chr4",77155833,"-","Tcells","p00001",3,"GTSP0127-3","m24",24,1,0.0964320154291225,"CCNG2","454","GTSP0127"
"chr4",81232493,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"PRKG2","454","GTSP0127"
"chr4",115325418,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"NDST4","454","GTSP0127"
"chr4",13984505,"+","Tcells","p00001",4,"GTSP0127-4","m24",24,1,0.0964320154291225,"LINC01182","454","GTSP0127"
"chr4",153125426,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"TRIM2","454","GTSP0127"
"chr4",1725510,"+","Tcells","p00001",2,"GTSP0127-2","m24",24,2,0.192864030858245,"TACC3","454","GTSP0127"
"chr4",185778055,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"SORBS2","454","GTSP0127"
"chr4",32143623,"+","Tcells","p00001",5,"GTSP0127-2","m24",24,3,0.289296046287367,"LOC102723828","454","GTSP0127"
"chr4",38957998,"+","Tcells","p00001",32,"GTSP0127-1","m24",24,4,0.38572806171649,"TMEM156","454","GTSP0127"
"chr4",40197465,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"RHOH","454","GTSP0127"
"chr4",76302289,"+","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"FAM47E-STBD1","454","GTSP0127"
"chr4",77862256,"+","Tcells","p00001",4,"GTSP0127-1","m24",24,2,0.192864030858245,"MRPL1","454","GTSP0127"
"chr4",83112916,"+","Tcells","p00001",5,"GTSP0127-1","m24",24,2,0.192864030858245,"PLAC8","454","GTSP0127"
"chr4",88683510,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"HERC3","454","GTSP0127"
"chr5",10760612,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"DAP","454","GTSP0127"
"chr5",132456838,"-","Tcells","p00001",8,"GTSP0127-3","m24",24,2,0.192864030858245,"C5ORF56","454","GTSP0127"
"chr5",132468391,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"C5ORF56","454","GTSP0127"
"chr5",132468994,"-","Tcells","p00001",6,"GTSP0127-1","m24",24,3,0.289296046287367,"C5ORF56","454","GTSP0127"
"chr5",1537150,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"LPCAT1","454","GTSP0127"
"chr5",1537468,"-","Tcells","p00001",8,"GTSP0127-3","m24",24,1,0.0964320154291225,"LPCAT1","454","GTSP0127"
"chr5",177022584,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"ZNF346","454","GTSP0127"
"chr5",18090873,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"LINC02223","454","GTSP0127"
"chr5",181244586,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"RACK1","454","GTSP0127"
"chr5",57845380,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"LINC02225","454","GTSP0127"
"chr5",78905288,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"ARSB","454","GTSP0127"
"chr5",88363192,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"TMEM161B-AS1","454","GTSP0127"
"chr5",119620779,"+","Tcells","p00001",2,"GTSP0127-2","m24",24,2,0.192864030858245,"FAM170A","454","GTSP0127"
"chr5",121961281,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"SRFBP1","454","GTSP0127"
"chr5",131546693,"+","Tcells","p00001",8,"GTSP0127-1","m24",24,3,0.289296046287367,"RAPGEF6","454","GTSP0127"
"chr5",132419386,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"C5ORF56","454","GTSP0127"
"chr5",132420488,"+","Tcells","p00001",13,"GTSP0127-1","m24",24,3,0.289296046287367,"C5ORF56","454","GTSP0127"
"chr5",132421929,"+","Tcells","p00001",4,"GTSP0127-4","m24",24,1,0.0964320154291225,"C5ORF56","454","GTSP0127"
"chr5",132465012,"+","Tcells","p00001",4,"GTSP0127-1","m24",24,3,0.289296046287367,"C5ORF56","454","GTSP0127"
"chr5",139476507,"+","Tcells","p00001",4,"GTSP0127-2","m24",24,2,0.192864030858245,"TMEM173","454","GTSP0127"
"chr5",150411442,"+","Tcells","p00001",27,"GTSP0127-1","m24",24,4,0.38572806171649,"CD74","454","GTSP0127"
"chr5",179569350,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"RUFY1","454","GTSP0127"
"chr5",20536047,"+","Tcells","p00001",11,"GTSP0127-1","m24",24,4,0.38572806171649,"CDH18","454","GTSP0127"
"chr5",29348996,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"LINC02064","454","GTSP0127"
"chr5",39146934,"+","Tcells","p00001",16,"GTSP0127-1","m24",24,4,0.38572806171649,"FYB","454","GTSP0127"
"chr5",55601316,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"SLC38A9","454","GTSP0127"
"chr5",67409299,"+","Tcells","p00001",2,"GTSP0127-2","m24",24,2,0.192864030858245,"CD180","454","GTSP0127"
"chr5",84572872,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"EDIL3","454","GTSP0127"
"chr6",125843963,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"NCOA7","454","GTSP0127"
"chr6",13179936,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"PHACTR1","454","GTSP0127"
"chr6",135419408,"-","Tcells","p00001",2,"GTSP0127-4","m24",24,1,0.0964320154291225,"AHI1","454","GTSP0127"
"chr6",139292416,"-","Tcells","p00001",6,"GTSP0127-3","m24",24,2,0.192864030858245,"TXLNB","454","GTSP0127"
"chr6",142499972,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"LOC153910","454","GTSP0127"
"chr6",146974847,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"STXBP5-AS1","454","GTSP0127"
"chr6",14835125,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"JARID2","454","GTSP0127"
"chr6",17707564,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"LOC105374952","454","GTSP0127"
"chr6",25007187,"-","Tcells","p00001",12,"GTSP0127-2","m24",24,3,0.289296046287367,"RIPOR2","454","GTSP0127"
"chr6",25404803,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"CARMIL1","454","GTSP0127"
"chr6",31587064,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"LST1","454","GTSP0127"
"chr6",32968765,"-","Tcells","p00001",2,"GTSP0127-2","m24",24,1,0.0964320154291225,"BRD2","454","GTSP0127"
"chr6",42781761,"-","Tcells","p00001",2,"GTSP0127-2","m24",24,2,0.192864030858245,"GLTSCR1L","454","GTSP0127"
"chr6",45437245,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"RUNX2","454","GTSP0127"
"chr6",47466614,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"CD2AP","454","GTSP0127"
"chr6",53244685,"-","Tcells","p00001",4,"GTSP0127-1","m24",24,1,0.0964320154291225,"ELOVL5","454","GTSP0127"
"chr6",75096239,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"COL12A1","454","GTSP0127"
"chr6",90185448,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"BACH2","454","GTSP0127"
"chr6",112249730,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"LAMA4,LOC101927640","454","GTSP0127"
"chr6",116254493,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"DSE","454","GTSP0127"
"chr6",151648971,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"CCDC170","454","GTSP0127"
"chr6",15265696,"+","Tcells","p00001",6,"GTSP0127-2","m24",24,1,0.0964320154291225,"JARID2","454","GTSP0127"
"chr6",158793118,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"EZR","454","GTSP0127"
"chr6",169382026,"+","Tcells","p00001",4,"GTSP0127-3","m24",24,1,0.0964320154291225,"WDR27","454","GTSP0127"
"chr6",25366963,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"CARMIL1","454","GTSP0127"
"chr6",25368338,"+","Tcells","p00001",15,"GTSP0127-1","m24",24,4,0.38572806171649,"CARMIL1","454","GTSP0127"
"chr6",26311740,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"HIST1H4H","454","GTSP0127"
"chr6",35723249,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"FKBP5","454","GTSP0127"
"chr6",37175862,"+","Tcells","p00001",6,"GTSP0127-1","m24",24,3,0.289296046287367,"PIM1","454","GTSP0127"
"chr6",37178466,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"PIM1","454","GTSP0127"
"chr6",42928802,"+","Tcells","p00001",4,"GTSP0127-1","m24",24,3,0.289296046287367,"CNPY3","454","GTSP0127"
"chr6",54308418,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"TINAG","454","GTSP0127"
"chr6",55268948,"+","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"HCRTR2","454","GTSP0127"
"chr6",62368357,"+","Tcells","p00001",4,"GTSP0127-1","m24",24,1,0.0964320154291225,"KHDRBS2","454","GTSP0127"
"chr6",72712945,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"KCNQ5","454","GTSP0127"
"chr6",73652889,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"SLC17A5","454","GTSP0127"
"chr6",87322357,"+","Tcells","p00001",4,"GTSP0127-3","m24",24,1,0.0964320154291225,"GJB7","454","GTSP0127"
"chr7",116232651,"-","Tcells","p00001",4,"GTSP0127-1","m24",24,3,0.289296046287367,"TES","454","GTSP0127"
"chr7",138417105,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"TRIM24","454","GTSP0127"
"chr7",138561610,"-","Tcells","p00001",6,"GTSP0127-3","m24",24,1,0.0964320154291225,"TRIM24","454","GTSP0127"
"chr7",142719300,"-","Tcells","p00001",34,"GTSP0127-1","m24",24,4,0.38572806171649,"PRSS1","454","GTSP0127"
"chr7",142721125,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"PRSS1","454","GTSP0127"
"chr7",142796252,"-","Tcells","p00001",9,"GTSP0127-2","m24",24,2,0.192864030858245,"PRSS2","454","GTSP0127"
"chr7",1507679,"-","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"INTS1","454","GTSP0127"
"chr7",1511450,"-","Tcells","p00001",24,"GTSP0127-1","m24",24,4,0.38572806171649,"INTS1","454","GTSP0127"
"chr7",1532384,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"MAFK","454","GTSP0127"
"chr7",20216546,"-","Tcells","p00001",3,"GTSP0127-4","m24",24,1,0.0964320154291225,"MACC1","454","GTSP0127"
"chr7",24910766,"-","Tcells","p00001",4,"GTSP0127-2","m24",24,1,0.0964320154291225,"OSBPL3","454","GTSP0127"
"chr7",39732318,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"LINC00265","454","GTSP0127"
"chr7",50266105,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"IKZF1","454","GTSP0127"
"chr7",5532526,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"ACTB","454","GTSP0127"
"chr7",74013130,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"ELN","454","GTSP0127"
"chr7",80099401,"-","Tcells","p00001",20,"GTSP0127-1","m24",24,4,0.38572806171649,"GNAI1","454","GTSP0127"
"chr7",101814614,"+","Tcells","p00001",3,"GTSP0127-3","m24",24,2,0.192864030858245,"CUX1","454","GTSP0127"
"chr7",122960950,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"TAS2R16","454","GTSP0127"
"chr7",135147641,"+","Tcells","p00001",2,"GTSP0127-1","m24",24,1,0.0964320154291225,"C7ORF49","454","GTSP0127"
"chr7",139627301,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"HIPK2","454","GTSP0127"
"chr7",142796660,"+","Tcells","p00001",4,"GTSP0127-2","m24",24,3,0.289296046287367,"PRSS2","454","GTSP0127"
"chr7",17206625,"+","Tcells","p00001",2,"GTSP0127-2","m24",24,1,0.0964320154291225,"AHR","454","GTSP0127"
"chr7",2405815,"+","Tcells","p00001",65,"GTSP0127-1","m24",24,4,0.38572806171649,"CHST12","454","GTSP0127"
"chr7",26535031,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"KIAA0087","454","GTSP0127"
"chr7",2736445,"+","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"AMZ1,GNA12","454","GTSP0127"
"chr7",3521372,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"SDK1","454","GTSP0127"
"chr7",44631221,"+","Tcells","p00001",18,"GTSP0127-1","m24",24,4,0.38572806171649,"OGDH","454","GTSP0127"
"chr7",44639885,"+","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"OGDH","454","GTSP0127"
"chr7",47573261,"+","Tcells","p00001",5,"GTSP0127-1","m24",24,1,0.0964320154291225,"TNS3","454","GTSP0127"
"chr7",50307777,"+","Tcells","p00001",5,"GTSP0127-1","m24",24,2,0.192864030858245,"IKZF1","454","GTSP0127"
"chr7",5440937,"+","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"TNRC18","454","GTSP0127"
"chr7",73347555,"+","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"FKBP6","454","GTSP0127"
"chr7",93922642,"+","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"GNG11","454","GTSP0127"
"chr8",121129759,"-","Tcells","p00001",2,"GTSP0127-1","m24",24,2,0.192864030858245,"SNTB1","454","GTSP0127"
"chr8",12753310,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"LONRF1","454","GTSP0127"
"chr8",22179802,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"BMP1","454","GTSP0127"
"chr8",29060595,"-","Tcells","p00001",4,"GTSP0127-1","m24",24,2,0.192864030858245,"KIF13B","454","GTSP0127"
"chr8",37737886,"-","Tcells","p00001",7,"GTSP0127-1","m24",24,2,0.192864030858245,"ERLIN2","454","GTSP0127"
"chr8",38081862,"-","Tcells","p00001",5,"GTSP0127-2","m24",24,2,0.192864030858245,"EIF4EBP1","454","GTSP0127"
"chr8",58830953,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"TOX","454","GTSP0127"
"chr8",65945646,"-","Tcells","p00001",4,"GTSP0127-1","m24",24,1,0.0964320154291225,"DNAJC5B","454","GTSP0127"
"chr8",80545918,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"ZBTB10","454","GTSP0127"
"chr8",8797719,"-","Tcells","p00001",1,"GTSP0127-3","m24",24,1,0.0964320154291225,"MFHAS1","454","GTSP0127"
"chr8",89782124,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"RIPK2","454","GTSP0127"
"chr8",94073076,"-","Tcells","p00001",2,"GTSP0127-2","m24",24,2,0.192864030858245,"CDH17","454","GTSP0127"
"chr8",98292790,"-","Tcells","p00001",1,"GTSP0127-4","m24",24,1,0.0964320154291225,"NIPAL2","454","GTSP0127"
"chr8",17138304,"+","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"MICU3","454","GTSP0127"
"chr8",23177561,"+","Tcells","p00001",4,"GTSP0127-2","m24",24,2,0.192864030858245,"TNFRSF10D","454","GTSP0127"
"chr8",30134466,"+","Tcells","p00001",4,"GTSP0127-4","m24",24,1,0.0964320154291225,"LEPROTL1,MBOAT4","454","GTSP0127"
"chr8",58596436,"+","Tcells","p00001",2,"GTSP0127-3","m24",24,1,0.0964320154291225,"NSMAF","454","GTSP0127"
"chr8",59117874,"+","Tcells","p00001",18,"GTSP0127-1","m24",24,3,0.289296046287367,"TOX","454","GTSP0127"
"chr8",59636531,"+","Tcells","p00001",3,"GTSP0127-3","m24",24,1,0.0964320154291225,"TOX","454","GTSP0127"
"chr8",90001893,"+","Tcells","p00001",6,"GTSP0127-1","m24",24,3,0.289296046287367,"DECR1","454","GTSP0127"
"chr9",116105586,"-","Tcells","p00001",1,"GTSP0127-1","m24",24,1,0.0964320154291225,"PAPPA","454","GTSP0127"
"chr9",123735405,"-","Tcells","p00001",1,"GTSP0127-2","m24",24,1,0.0964320154291225,"DENND1A","454","GTSP0127"
"chr9",12761053,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,2,0.192864030858245,"LURAP1L-AS1","454","GTSP0127"
"chr9",129945937,"-","Tcells","p00001",3,"GTSP0127-1","m24",24,1,0.0964320154291225,"FNBP1","454","GTSP0127"
